id,price,min_price,max_price,cats,dogs,pet_policy_text,beds,min_beds,max_beds,baths,min_baths,max_baths,garage,house_type,sqft,year_built,address,postal_code,state,city,pictures,pictures1,lat,lon,county
9988553569,,1614.0,1800.0,True,True,Shot records and pet photo required.,,1,3,,1.0,2.5,,apartment,,2021,1501 Northstar Rd,76208,TX,Denton,https://ar.rdcpix.com/6914d55324ca0711435599d2181b4a95c-f3254705679s.jpg,https://ar.rdcpix.com/6914d55324ca0711435599d2181b4a95c-f644141130s.jpg,,,Denton
9259822404,,1592.0,2624.0,True,True,,,1,3,,1.0,2.0,,apartment,,2022,950 Spanish Needle Trl,76177,TX,Fort Worth,https://ar.rdcpix.com/8cda0a036ce0cf3744f315c2175b2c26c-f2770915858s.jpg,https://ar.rdcpix.com/8cda0a036ce0cf3744f315c2175b2c26c-f3576219882s.jpg,,,Tarrant
8005235321,,1786.0,3265.0,True,True,,,0,2,,1.0,2.0,,apartment,,2017,3131 Main St,75226,TX,Dallas,https://ar.rdcpix.com/d0fe92ecaefb790756081b4ab9e87a9ac-f398031020s.jpg,https://ar.rdcpix.com/d0fe92ecaefb790756081b4ab9e87a9ac-f3611478307s.jpg,32.78536,-96.77838,Dallas
9986212797,,1184.0,2510.0,True,True,,,0,3,,1.0,2.0,,apartment,,2021,7004 W Wadley Ave,79707,TX,Midland,https://ar.rdcpix.com/f99c92cdd326d1c6efa0deb51da98c4bc-f3587707839s.jpg,https://ar.rdcpix.com/f99c92cdd326d1c6efa0deb51da98c4bc-f2890793733s.jpg,,,Midland
7882919206,,1671.0,10263.0,True,True,Non Aggressive Breeds Only. 150 Deposit per apartment.,,0,3,,1.0,3.0,,apartment,,2019,1309 Main St,75202,TX,Dallas,https://ar.rdcpix.com/ccfba9c7a9459bce166defe944b13825c-f760430531s.jpg,https://ar.rdcpix.com/ccfba9c7a9459bce166defe944b13825c-f2291765991s.jpg,32.780598,-96.800588,Dallas
9669672768,,539.0,979.0,True,True,,,1,4,,1.0,4.0,,apartment,,2001,1101 Luther St W,77840,TX,College Station,https://ar.rdcpix.com/cc667da5085b13e70a1752ae85d0aa9bc-f1340287093s.jpg,https://ar.rdcpix.com/cc667da5085b13e70a1752ae85d0aa9bc-f4253392411s.jpg,30.588458,-96.345681,Brazos
7237418205,,1525.0,2605.0,True,True,,,1,2,,1.0,2.5,,apartment,,2003,600 Studemont St,77007,TX,Houston,https://ar.rdcpix.com/6a85a67406e1669df3f7f5454ad717f2c-f4205432219s.jpg,https://ar.rdcpix.com/6a85a67406e1669df3f7f5454ad717f2c-f2600974828s.jpg,29.76621,-95.39181,Harris
7257599348,,1001.0,2256.0,True,True,,,1,3,,1.0,2.5,,apartment,,2016,7447 Eastpoint Blvd,77521,TX,Baytown,https://ar.rdcpix.com/ddfdde42b9d5def3e1b3d0e91313e9c6c-f1382887427s.jpg,https://ar.rdcpix.com/ddfdde42b9d5def3e1b3d0e91313e9c6c-f1448150638s.jpg,29.80799,-94.98751,Harris
7407737380,,1875.0,2505.0,True,True,,,1,2,,1.0,2.0,,apartment,,2015,1555 Elm St,75201,TX,Dallas,https://ar.rdcpix.com/f9389170875c595d449625c8a8f4be37c-f3498867020s.jpg,https://ar.rdcpix.com/f9389170875c595d449625c8a8f4be37c-f255601085s.jpg,32.781583,-96.799157,Dallas
9814554333,,1305.0,2684.0,True,True,,,0,2,,1.0,2.0,,apartment,,2021,447 N Main St,76164,TX,Fort Worth,https://ar.rdcpix.com/309313f0e8e5d349cb91bcdaa6f4d6a1c-f2060322505s.jpg,https://ar.rdcpix.com/309313f0e8e5d349cb91bcdaa6f4d6a1c-f2280721781s.jpg,32.762991,-97.337523,Tarrant
7215749022,,1304.0,2145.0,True,True,No aggressive breeds. Call for full policy details.,,1,3,,1.0,2.0,,apartment,,2007,2727 W 18th St,77008,TX,Houston,https://ar.rdcpix.com/e29a79fbc5e2bf2c2a136bca19b9dc43c-f2060118692s.jpg,https://ar.rdcpix.com/e29a79fbc5e2bf2c2a136bca19b9dc43c-f4282874053s.jpg,29.80247,-95.44706,Harris
9361651799,,1115.0,1599.0,True,True,2 pets max - $300 pet fee and $300 refundable deposit.,,1,3,,1.0,2.5,,apartment,,2021,3901 114th St,79423,TX,Lubbock,https://ar.rdcpix.com/23070e5eded35c706031acb09bb7ba1bc-f3797337632s.jpg,https://ar.rdcpix.com/23070e5eded35c706031acb09bb7ba1bc-f2136687270s.jpg,33.490542,-101.8975,Lubbock
7141862550,,1195.0,1960.0,True,True,Cat/Dog,,1,3,,1.0,2.0,,apartment,,2008,6464 E Sam Houston Pkwy N,77049,TX,Houston,https://ar.rdcpix.com/cb44babb02231245a60a14c53a026310c-f2445025640s.jpg,https://ar.rdcpix.com/cb44babb02231245a60a14c53a026310c-f2211967997s.jpg,29.83467,-95.16718,Harris
9702988590,,1208.0,3136.0,True,True,,,1,2,,1.0,2.0,,apartment,,2020,4933 W Causeway Blvd,78402,TX,Corpus Christi,https://ar.rdcpix.com/e921710edc9f124ee7e48411e82853e3c-f2309068672s.jpg,https://ar.rdcpix.com/e921710edc9f124ee7e48411e82853e3c-f3630952812s.jpg,27.837666,-97.382376,Nueces
7112988629,,1800.0,2299.0,False,False,,,2,4,,2.0,4.0,,apartment,,1997,1300 Crossing Pl,78741,TX,Austin,https://ar.rdcpix.com/3cd05ce498d5704e371769ed6793ad26c-f1124561889s.jpg,https://ar.rdcpix.com/3cd05ce498d5704e371769ed6793ad26c-f3417806693s.jpg,30.24054,-97.7127,Travis
7121350721,,1285.0,2094.0,True,True,,,1,2,,1.0,2.0,,apartment,,1999,2701 N Grapevine Mills Blvd,76051,TX,Grapevine,https://ar.rdcpix.com/039be34017f8c25f021671ebc632fb34c-f4007348844s.jpg,https://ar.rdcpix.com/039be34017f8c25f021671ebc632fb34c-f3058538009s.jpg,32.9733,-97.04228,Tarrant
8989080019,,1270.0,1605.0,True,True,Toscana at Valley Ridge is a pet friendly community! Please contact our us for a detailed pet policy. Breed and Weight restrictions apply./Dog,,1,2,,1.0,2.0,,apartment,,2003,1400 Valley Ridge Blvd,75077,TX,Lewisville,https://ar.rdcpix.com/6b572fba9bc0fbaa23ac5a18c714e533c-f3381082753s.jpg,https://ar.rdcpix.com/6b572fba9bc0fbaa23ac5a18c714e533c-f1645161210s.jpg,33.060258,-97.031512,Denton
7144921690,,975.0,1470.0,True,True,"Fee: $300 per pet, Rent: $25 per pet",,1,2,,1.0,2.0,,apartment,,1970,7315 Brompton St,77025,TX,Houston,https://ar.rdcpix.com/cd743d001cef845d9a2d877129a81c53c-f3247637474s.jpg,https://ar.rdcpix.com/cd743d001cef845d9a2d877129a81c53c-f221517163s.jpg,29.70238,-95.42187,Harris
7132580365,,1472.0,2131.0,True,True,,,1,2,,1.0,2.0,,apartment,,1995,3201 Century Park Blvd,78727,TX,Austin,https://ar.rdcpix.com/16ee769195db10f3973723af420a217fc-f1798114559s.jpg,https://ar.rdcpix.com/16ee769195db10f3973723af420a217fc-f3928279910s.jpg,30.433229,-97.6951,Travis
7161373763,,980.0,1523.0,True,True,No aggressive breeds.Deposits and fees apply. Please contact the office for further details.,,1,2,,1.0,2.0,,apartment,,1999,9757 Windwater Dr,77075,TX,Houston,https://ar.rdcpix.com/a253a96b0fcd50daee9971c9051634b1c-f2605299096s.jpg,https://ar.rdcpix.com/a253a96b0fcd50daee9971c9051634b1c-f3835694082s.jpg,29.62513,-95.24455,Harris
8889676555,,1000.0,2000.0,False,False,,,0,2,,1.0,2.0,,apartment,,1999,5383 Southern Blvd,75240,TX,Dallas,https://ar.rdcpix.com/ffa4decf18575ab4aa575fa5697486e6c-f494218227s.jpg,https://ar.rdcpix.com/ffa4decf18575ab4aa575fa5697486e6c-f1045718012s.jpg,32.936597,-96.816126,Dallas
